Num,Species,Taxon Id,Common name,Lineage
1,hepatitis delta virus,12475,HDV,"Viruses, Ribozyviria, Kolmioviridae, Deltavirus"
2,fowl aviadenovirus c,190063,,"Viruses, Varidnaviria, Bamfordvirae, Preplasmiviricota, Tectiliviricetes, Rowavirales, Adenoviridae, Aviadenovirus"
3,anelloviridae sp.,2055263,,"Viruses, Anelloviridae, unclassified Anelloviridae"
4,lesser panda anellovirus,2012640,,"Viruses, Anelloviridae, Thetatorquevirus, Thetatorquevirus ursid1"
5,rodent torque teno virus 2,1514665,,"Viruses, Anelloviridae, unclassified Anelloviridae"
6,rodent torque teno virus 3,2054610,,"Viruses, Anelloviridae, Wawtorquevirus, Wawtorquevirus crice2"
7,rodent torque teno virus 4,2054611,,"Viruses, Anelloviridae, unclassified Anelloviridae"
8,rodent torque teno virus 6,2054613,,"Viruses, Anelloviridae, unclassified Anelloviridae"
9,rodent torque teno virus 7,2054614,,"Viruses, Anelloviridae, Wawtorquevirus, Wawtorquevirus crice3"
10,seal anellovirus 2,1427157,,"Viruses, Anelloviridae, Lambdatorquevirus, Lambdatorquevirus phoci2"
11,seal anellovirus 3,1427156,,"Viruses, Anelloviridae, Lambdatorquevirus, Lambdatorquevirus phoci3"
12,seal anellovirus tffn/usa/2006,991022,,"Viruses, Anelloviridae, unclassified Anelloviridae"
13,torque teno tadarida brasiliensis virus,1543419,,"Viruses, Anelloviridae, Xitorquevirus, Xitorquevirus molos1"
14,torque teno indri virus 1,2010248,,"Viruses, Anelloviridae, Chitorquevirus, Chitorquevirus indri1"
15,torque teno virus,68887,,"Viruses, Anelloviridae, unclassified Anelloviridae"
16,simian torque teno virus 30,1619218,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus cerco1"
17,simian torque teno virus 31,1619219,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus cerco3"
18,simian torque teno virus 32,1619220,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus cerco5"
19,simian torque teno virus 33,1629656,,"Viruses, Anelloviridae, Alphatorquevirus, unclassified Alphatorquevirus"
20,simian torque teno virus 34,1629657,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus cerco2"
21,torque teno virus 14,687353,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus homin14"
22,torque teno virus 15,687354,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus homin15"
23,torque teno virus 16,687355,,"Viruses, Anelloviridae, Alphatorquevirus"
24,torque teno virus 19,687358,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus homin19"
25,torque teno virus 26,687365,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus cerco6"
26,torque teno virus 7,687346,,"Viruses, Anelloviridae, Alphatorquevirus, Alphatorquevirus homin7"
27,torque teno virus 8,687347,,"Viruses, Anelloviridae, Alphatorquevirus"
28,ttv-like mini virus,93678,,"Viruses, Anelloviridae, Betatorquevirus, unclassified Betatorquevirus"
29,torque teno mini virus 1,687369,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini1"
30,torque teno mini virus 2,687370,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini2"
31,torque teno mini virus 3,687371,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini3"
32,torque teno mini virus 4,687372,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini4"
33,torque teno mini virus 5,687373,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini5"
34,torque teno mini virus 6,687374,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini6"
35,torque teno mini virus 7,687375,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini7"
36,torque teno mini virus 9,687377,,"Viruses, Anelloviridae, Betatorquevirus, Betatorquevirus homini9"
37,torque teno tamarin virus,687382,,"Viruses, Anelloviridae, Epsilontorquevirus, Epsilontorquevirus calli1"
38,torque teno felis virus,687384,,"Viruses, Anelloviridae, Etatorquevirus, Etatorquevirus felid1"
39,torque teno midi virus 1,687379,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi1"
40,torque teno midi virus 10,2065051,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi10"
41,torque teno midi virus 11,2065052,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi11"
42,torque teno midi virus 12,2065053,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi12"
43,torque teno midi virus 13,2065054,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi13"
44,torque teno midi virus 14,2065055,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi14"
45,torque teno midi virus 15,2065056,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi15"
46,torque teno midi virus 2,687380,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi2"
47,torque teno midi virus 5,2065046,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi5"
48,torque teno midi virus 6,2065047,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi6"
49,torque teno midi virus 7,2065048,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi7"
50,torque teno midi virus 8,2065049,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi8"
51,torque teno midi virus 9,2065050,,"Viruses, Anelloviridae, Gammatorquevirus, Gammatorquevirus homidi9"
52,avian gyrovirus 2,1002273,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus galga1"
53,chicken anemia virus,12618,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus chickenanemia"
54,gyrovirus 4,1214955,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus homsa3"
55,gyrovirus gyv3,1163715,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus homsa1"
56,gyrovirus gyv8,1670973,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus fulgla1"
57,gyrovirus tu243,1415627,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus homsa4"
58,gyrovirus tu789,1415628,,"Viruses, Anelloviridae, Gyrovirus, Gyrovirus homsa2"
59,torque teno sus virus 1a,687386,,"Viruses, Anelloviridae, Iotatorquevirus, Iotatorquevirus suida1a"
60,torque teno sus virus 1b,687387,,"Viruses, Anelloviridae, Iotatorquevirus"
61,torque teno sus virus k2a,1968861,,"Viruses, Anelloviridae, Kappatorquevirus, Kappatorquevirus suidak2a"
62,torque teno zalophus virus 1,1218490,ZcTTV,"Viruses, Anelloviridae, Sigmatorquevirus, Sigmatorquevirus otari1"
63,torque teno equus virus 1,1673633,,"Viruses, Anelloviridae, Mutorquevirus, Mutorquevirus equid1"
64,torque teno canis virus,687385,,"Viruses, Anelloviridae, Thetatorquevirus, Thetatorquevirus canid1"
65,torque teno douroucouli virus,687383,,"Viruses, Anelloviridae, Zetatorquevirus, Zetatorquevirus aotid1"
66,aiptasia sp. sea anemone associated circular virus,1692242,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
67,apteryx rowi circovirus-like virus,1634476,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
68,artemia melana sponge associated circular genome,1692243,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
69,avon-heathcote estuary associated circular virus 1,1618232,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
70,avon-heathcote estuary associated circular virus 10,1618233,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
71,avon-heathcote estuary associated circular virus 11,1618234,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
72,avon-heathcote estuary associated circular virus 12,1618235,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
73,avon-heathcote estuary associated circular virus 13,1618236,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
74,avon-heathcote estuary associated circular virus 14,1618237,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
75,avon-heathcote estuary associated circular virus 15,1618238,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
76,avon-heathcote estuary associated circular virus 16,1618239,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
77,avon-heathcote estuary associated circular virus 17,1618240,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
78,avon-heathcote estuary associated circular virus 19,1618242,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
79,avon-heathcote estuary associated circular virus 2,1618243,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
80,avon-heathcote estuary associated circular virus 20,1618244,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
81,avon-heathcote estuary associated circular virus 21,1618245,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
82,avon-heathcote estuary associated circular virus 22,1618246,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
83,avon-heathcote estuary associated circular virus 23,1618247,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
84,avon-heathcote estuary associated circular virus 24,1618248,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
85,avon-heathcote estuary associated circular virus 25,1618249,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
86,avon-heathcote estuary associated circular virus 26,1618250,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
87,avon-heathcote estuary associated circular virus 27,1618251,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
88,avon-heathcote estuary associated circular virus 28,1618252,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
89,avon-heathcote estuary associated circular virus 29,1618253,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
90,avon-heathcote estuary associated circular virus 3,1618254,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
91,avon-heathcote estuary associated circular virus 4,1618255,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
92,avon-heathcote estuary associated circular virus 5,1618256,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
93,avon-heathcote estuary associated circular virus 6,1618257,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
94,avon-heathcote estuary associated circular virus 7,1618258,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
95,avon-heathcote estuary associated circular virus 8,1618259,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
96,avon-heathcote estuary associated circular virus 9,1618260,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
97,calanoida sp. copepod associated circular virus,1692244,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
98,callinectes ornatus blue crab associated circular virus,1692245,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
99,callinectes sapidus associated circular virus,1692246,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, unclassified Circoviridae"
100,circoviridae 1 ldmd-2013,1379692,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
101,circoviridae 10 ldmd-2013,1379714,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
102,circoviridae 11 ldmd-2013,1379715,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
103,circoviridae 13 ldmd-2013,1379717,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
104,circoviridae 14 ldmd-2013,1379718,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
105,circoviridae 15 ldmd-2013,1379719,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
106,circoviridae 16 ldmd-2013,1379720,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
107,circoviridae 17 ldmd-2013,1379721,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
108,circoviridae 19 ldmd-2013,1379723,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
109,circoviridae 2 ldmd-2013,1379695,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
110,circoviridae 21 ldmd-2013,1379725,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
111,circoviridae 3 ldmd-2013,1379707,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
112,circoviridae 6 ldmd-2013,1379710,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
113,circoviridae 7 ldmd-2013,1379711,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
114,circoviridae 8 ldmd-2013,1379712,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
115,circoviridae 9 ldmd-2013,1379713,,"Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Cirlivirales, Circoviridae, environmental samples"
